trip_id,stop_id,stop_sequence,pickup_type,drop_off_type,stop_headsign,arrival_time,departure_time,dep_sec,arr_sec
23127470,400000098,2,0,0,,7:00:00,7:03:00,25380.0,25200.0
23127470,400000071,3,0,0,,7:21:00,7:21:00,26460.0,26460.0
23127490,200405060,0,0,0,,7:13:00,7:13:00,25980.0,25980.0
23127490,400000064,1,1,1,,7:25:00,7:25:00,26700.0,26700.0
23127490,400000098,2,0,0,,7:37:00,7:48:00,28080.0,27420.0
23127490,400000071,3,0,0,,8:06:00,8:06:00,29160.0,29160.0
23127459,400000098,0,0,0,,7:28:00,7:28:00,26880.0,26880.0
23127459,400000064,1,1,1,,7:37:00,7:37:00,27420.0,27420.0
23127459,220102018,2,0,0,,7:40:00,7:41:00,27660.0,27600.0
23127459,200304014,3,0,0,,7:48:00,7:50:00,28200.0,28080.0
23127459,200405060,4,0,0,,7:54:00,7:54:00,28440.0,28440.0
23127458,400000098,0,0,0,,7:58:00,7:58:00,28680.0,28680.0
23127458,400000064,1,1,1,,8:07:00,8:07:00,29220.0,29220.0
23127458,220102018,2,0,0,,8:10:00,8:11:00,29460.0,29400.0
23127458,200304014,3,0,0,,8:18:00,8:20:00,30000.0,29880.0
23127458,200405060,4,0,0,,8:24:00,8:24:00,30240.0,30240.0
23127442,400000098,0,0,0,,8:27:00,8:27:00,30420.0,30420.0
23127442,400000064,1,1,1,,8:37:00,8:37:00,31020.0,31020.0
23127442,220102018,2,0,0,,8:40:00,8:41:00,31260.0,31200.0
23127442,200304014,3,0,0,,8:48:00,8:50:00,31800.0,31680.0
23127442,200405060,4,0,0,,8:54:00,8:54:00,32040.0,32040.0
23127437,400000098,0,0,0,,8:57:00,8:57:00,32220.0,32220.0
23127328,400000098,4,0,0,,6:54:00,7:00:00,25200.0,24840.0
23127328,400000071,5,0,0,,7:27:00,7:27:00,26820.0,26820.0
23127325,200405060,0,0,0,,7:08:00,7:08:00,25680.0,25680.0
23127325,200304014,1,0,0,,7:11:00,7:13:00,25980.0,25860.0
23127325,220102018,2,0,0,,7:20:00,7:21:00,26460.0,26400.0
23127325,400000064,3,1,1,,7:24:00,7:24:00,26640.0,26640.0
23127325,400000098,4,0,0,,7:33:00,7:34:00,27240.0,27180.0
23127325,400000071,5,0,0,,7:57:00,7:57:00,28620.0,28620.0
23127274,400000071,5,0,0,,7:13:00,7:13:00,25980.0,25980.0
23127273,200405060,4,0,0,,7:03:00,7:03:00,25380.0,25380.0
23127263,400000024,3,0,0,,7:04:00,7:05:00,25500.0,25440.0
23127263,400000098,4,0,0,,7:11:00,7:16:00,26160.0,25860.0
23127263,400000071,5,0,0,,7:44:00,7:44:00,27840.0,27840.0
23127454,400000064,1,1,1,,7:07:00,7:07:00,25620.0,25620.0
23127454,220102018,2,0,0,,7:10:00,7:11:00,25860.0,25800.0
23127454,200304014,3,0,0,,7:18:00,7:20:00,26400.0,26280.0
